name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,JMS
월화고기 보라매직영점,"육류,고기",봉천동 732-3,4.2,103,215,37.4915849,126.9262895,865.5576872472375,10.0
신림춘천집 본점,닭요리,신림동 1640-28,4.6,78,57,37.4835778,126.9287344,112.0061334442448,9.71
정담은보쌈 신림점,"족발,보쌈",봉천동 959-4,4.3,54,123,37.4851801,126.9353297,510.91387198497046,8.86
모스키친,"돈까스,우동",신대방동 344-15,4.2,56,101,37.49749630000001,126.9276479,1481.0072861331355,8.68
서일순대국,순대,신대방동 377-1,3.4,118,175,37.4980298,126.9207304,1720.410903804032,8.61
시간을들이다,"제과,베이커리",상도동 304-12,4.3,46,115,37.4976148,126.9304791,1485.3641308238898,8.56
서울갈비 신림점,갈비,신림동 1410-17,4.2,48,137,37.4849462,126.9335792,354.3999253261506,8.55
중화요리팔공,중화요리,신림동 10-621,4.3,47,80,37.4840434,126.9370848,656.2134493843662,8.46
포말커피,카페,신림동 1432-119,4.7,27,148,37.4857522,126.9278553,228.5499919144463,8.31
마뇨떡볶이,떡볶이,신림동 1638-1,4.1,46,100,37.4821999,126.928909,239.6602837366632,8.2
춘천골숯불닭갈비,닭요리,신림동 1433-128,4.8,24,78,37.4849715,126.9266205,278.6582658375843,7.97
상남스시,"초밥,롤",신대방동 361-50,4.1,37,132,37.4981715,126.9238203,1628.912095910924,7.96
멕스칸즉석햄버거,분식,봉천동 698-28,4.6,28,71,37.4897374,126.9287369,613.0049859228026,7.94
